y,wl,ra6,ra12
544,1180.39,1180.79666666667,1179.545
545,1180.47,1180.93666666667,1180.04416666667
546,1179.85,1180.75666666667,1180.28416666667
547,1177.84,1179.91,1180.2575
548,1179.4,1179.61,1180.19916666667
549,1182.16,1180.01833333333,1180.345
550,1185.94,1180.94333333333,1180.87
551,1187.87,1182.17666666667,1181.55666666667
552,1193.01,1184.37,1182.56333333333
553,1191.98,1186.72666666667,1183.32
554,1189.01,1188.33,1183.97
555,1183.1,1188.49,1184.25166666667
556,1179.83,1187.46666666667,1184.205
557,1176.16,1185.515,1183.84583333333
558,1175.34,1182.57,1183.47
559,1177.27,1180.11833333333,1183.4225
560,1180.48,1178.69666666667,1183.51
561,1180.36,1178.24,1183.36
562,1179.29,1178.15,1182.80833333333
563,1180.82,1178.93,1182.22083333333
564,1186.09,1180.72,1181.64416666667
565,1187.62,1182.44,1181.28083333333
566,1188.44,1183.77,1181.23333333333
567,1186.14,1184.73,1181.49
568,1184.58,1185.62,1181.88
569,1184.76,1186.27,1182.60
570,1183.31,1185.81,1183.26
571,1183.74,1185.16,1183.80
572,1185.43,1184.66,1184.22
573,1186.69,1184.75,1184.74
574,1188.73,1185.44,1185.53
575,1193.31,1186.87,1186.57
576,1198.83,1189.46,1187.63
577,1202.61,1192.60,1188.88
578,1201.04,1195.20,1189.93
579,1200.01,1197.42,1191.09
580,1197.55,1198.89,1192.17
581,1195.5,1199.26,1193.06
582,1194.86,1198.595,1194.03
583,1195.71,1197.445,1195.02
584,1195.3,1196.48833333333,1195.85
585,1195.12,1195.67333333333,1196.55
586,1196.64,1195.52166666667,1197.21
587,1197.97,1195.93333333333,1197.60
588,1198.99,1196.62166666667,1197.60833333333
589,1204.13,1198.025,1197.735
590,1202.87,1199.29,1197.8875
591,1201.94,1200.42,1198.04833333333
592,1199.93,1200.97,1198.24666666667
593,1202.27,1201.69,1198.81083333333
594,1204.65,1202.63,1199.62666666667
595,1204.58,1202.71,1200.36583333333
596,1204.92,1203.05,1201.17
597,1203.21,1203.26,1201.84
598,1203.68,1203.89,1202.43
599,1202.88,1203.99,1202.84
600,1203.58,1203.81,1203.22
601,1204.31,1203.76,1203.24
602,1202.15,1203.30,1203.18
603,1198.44,1202.51,1202.88
604,1196.22,1201.26,1202.57
605,1193.7,1199.73,1201.86
606,1192.88,1197.95,1200.88
607,1192.78,1196.02833333333,1199.90
608,1192.67,1194.44833333333,1198.88
609,1194.11,1193.72666666667,1198.12
610,1195.42,1193.59333333333,1197.43
611,1198.28,1194.36,1197.05
612,1201.15,1195.74,1196.8425
613,1202.39,1197.34,1196.6825
614,1201.02,1198.73,1196.58833333333
615,1198.3,1199.43,1196.57666666667
616,1196.93,1199.67833333333,1196.63583333333
617,1196.42,1199.36833333333,1196.86
618,1196.48,1198.59,1197.16
619,1197.39,1197.75666666667,1197.55
620,1198.96,1197.41333333333,1198.07
621,1201.06,1197.87,1198.65
622,1204.76,1199.18,1199.42833333333
623,1208.37,1201.17,1200.26916666667
624,1206.83,1202.90,1200.7425
625,1210.25,1205.04,1201.3975
626,1211.59,1207.14,1202.27833333333
627,1211.26,1208.84,1203.36
628,1212.33,1210.11,1204.64
629,1220.27,1212.09,1206.63
630,1225.44,1215.19,1209.04
631,1222.17,1217.18,1211.11
632,1218.21,1218.28,1212.71
633,1215.32,1218.96,1213.90
634,1213.38,1219.13,1214.62
635,1212.33,1217.81,1214.95
636,1209.82,1215.21,1215.20
637,1207.67,1212.79,1214.98
638,1206.05,1210.76,1214.52
639,1205.91,1209.19,1214.08
640,1209.74,1208.59,1213.86
641,1212.17,1208.56,1213.18
642,1212.92,1209.08,1212.14
643,1211.4,1209.70,1211.24
644,1210.06,1210.36666666667,1210.56
645,1208.63,1210.82,1210.01
646,1208.29,1210.57833333333,1209.58
647,1207.9,1209.86666666667,1209.21
648,1206.95,1208.87166666667,1208.97
649,1206.68,1208.085,1208.89
650,1206.43,1207.48,1208.92333333333
651,1206.16,1207.06833333333,1208.94416666667
652,1209.83,1207.325,1208.95166666667
653,1214.25,1208.38,1209.125
654,1213.95,1209.55,1209.21083333333
655,1212.79,1210.57,1209.32666666667
656,1213.14,1211.69,1209.58333333333
657,1211.16,1212.52,1209.79416666667
658,1208.76,1212.34,1209.83333333333
659,1205.49,1210.88,1209.63
660,1201.59,1208.82,1209.19
661,1202.72,1207.14,1208.86
662,1202.45,1205.36,1208.52
663,1204.78,1204.30,1208.41
664,1208.16,1204.20,1208.27
665,1210.13,1204.97,1207.93
666,1207.14,1205.90,1207.36
667,1207.52,1206.70,1206.92
668,1208.83,1207.76,1206.56
669,1208.7,1208.41,1206.36
670,1209.77,1208.68166666667,1206.44
671,1210.39,1208.725,1206.85
672,1210.23,1209.24,1207.57
673,1210.58,1209.75,1208.22
674,1208.57,1209.70666666667,1208.73
675,1207.67,1209.54,1208.97
676,1205.99,1208.91,1208.79333333333
677,1206.6,1208.27,1208.49916666667
678,1207.8,1207.86833333333,1208.55416666667
679,1209.56,1207.69833333333,1208.72416666667
680,1209.79,1207.90166666667,1208.80416666667
681,1208.69,1208.07166666667,1208.80
682,1210.05,1208.74833333333,1208.83
683,1211.03,1209.48666666667,1208.88
684,1211.17,1210.05,1208.95833333333
685,1211.7,1210.41,1209.05166666667
686,1210.74,1210.56333333333,1209.2325
687,1208.36,1210.50833333333,1209.29
688,1206.23,1209.87166666667,1209.31
689,1203.18,1208.56333333333,1209.025
690,1201.43,1206.94,1208.49
691,1199.57,1204.92,1207.66
692,1199.16,1202.99,1206.77583333333
693,1199.15,1201.45,1205.98083333333
694,1199.46,1200.33,1205.09833333333
695,1199.75,1199.75,1204.15833333333
696,1201.4,1199.75,1203.34416666667
697,1202.49,1200.235,1202.58
698,1200.28,1200.42166666667,1201.71
699,1197.35,1200.12166666667,1200.79
700,1192.59,1198.97666666667,1199.65
701,1190.4,1197.41833333333,1198.59
702,1189.72,1195.47166666667,1197.61
703,1189.4,1193.29,1196.7625
704,1190.22,1191.61333333333,1196.0175
705,1189.55,1190.31333333333,1195.2175
706,1189.02,1189.71833333333,1194.3475
707,1189.8,1189.61833333333,1193.51833333333
708,1191,1189.83166666667,1192.65166666667
709,1191.75,1190.22333333333,1191.75666666667
710,1189.56,1190.11333333333,1190.86333333333
711,1186.89,1189.67,1189.99166666667
712,1183.93,1188.82166666667,1189.27
713,1182.06,1187.53166666667,1188.575
714,1179.49,1185.61,1187.7225
715,1178.82,1183.46,1186.84083333333
716,1180.02,1181.87,1185.99083333333
717,1178.9,1180.54,1185.10333333333
718,1178.54,1179.63833333333,1184.23
719,1177.89,1178.94333333333,1183.2375
720,1179.39,1178.92666666667,1182.27
721,1180.06,1179.13333333333,1181.30
722,1179.31,1179.015,1180.44
723,1177.8,1178.83,1179.68
724,1175.92,1178.395,1179.01666666667
725,1174.67,1177.85833333333,1178.40083333333
726,1173.29,1176.84166666667,1177.88416666667
727,1172.92,1175.65166666667,1177.3925
728,1173.01,1174.60166666667,1176.80833333333
729,1171.73,1173.59,1176.21
730,1171.82,1172.91,1175.65083333333
731,1173.44,1172.70,1175.28
732,1177.25,1173.36,1175.10166666667
733,1179.42,1174.45,1175.04833333333
734,1180.31,1175.66,1175.13166666667
735,1179.78,1177.00,1175.30
736,1177.31,1177.92,1175.41
737,1175.07,1178.19,1175.45
738,1173.92,1177.64,1175.50
739,1173.59,1176.66,1175.55
740,1174.44,1175.69,1175.67
741,1174.68,1174.84,1175.92
742,1175.45,1174.53,1176.22
743,1176.86,1174.82,1176.51
744,1183.64,1176.44,1177.04
745,1189.88,1179.16,1177.91
746,1193.46,1182.33,1179.01
747,1193.04,1185.39,1180.11
748,1190.27,1187.86,1181.19
749,1188.27,1189.76,1182.29
750,1187.2,1190.35,1183.40
751,1188.41,1190.10833333333,1184.63
752,1189.15,1189.39,1185.86
753,1188.05,1188.55833333333,1186.97
754,1188.45,1188.255,1188.06
755,1188.75,1188.335,1189.05
756,1190.09,1188.82,1189.59
757,1190.97,1189.24,1189.67583333333
758,1188.51,1189.14,1189.26333333333
759,1184.94,1188.62,1188.58833333333
760,1181.64,1187.48,1187.86916666667
761,1179.42,1185.93,1187.13166666667
762,1178.97,1184.08,1186.45
763,1178.24,1181.95,1185.60
764,1178.4,1180.27,1184.70
765,1177.8,1179.07833333333,1183.85
766,1175.67,1178.08333333333,1182.78
767,1176.55,1177.605,1181.77
768,1180.37,1177.83833333333,1180.96
769,1182.58,1178.56166666667,1180.26
770,1182.27,1179.20666666667,1179.74
771,1179.68,1179.52,1179.29916666667
772,1178.33,1179.96,1179.02333333333
773,1179.03,1180.38,1178.99083333333
774,1180.75,1180.44,1179.13916666667
775,1181.7,1180.29,1179.4275
776,1184.28,1180.62833333333,1179.9175
777,1186.12,1181.70166666667,1180.61
778,1189.65,1183.58833333333,1181.78
779,1190.92,1185.57,1182.97
780,1193.45,1187.68666666667,1184.06
781,1193.81,1189.71,1185.00
782,1193.81,1191.29,1185.96083333333
783,1192.75,1192.40,1187.05
784,1191.26,1192.67,1188.1275
785,1190.43,1192.59,1189.0775
786,1190.26,1192.05,1189.87
787,1190.02,1191.42,1190.56
788,1190.84,1190.93,1191.11
789,1191.56,1190.73,1191.56
790,1192.71,1190.97,1191.82
791,1194.38,1191.63,1192.11
792,1195.63,1192.52,1192.29
793,1196.51,1193.61,1192.51
794,1199.1,1194.98,1192.95
795,1200.01,1196.39,1193.56
796,1199.96,1197.59833333333,1194.28
797,1202.32,1198.92166666667,1195.28
798,1203.49,1200.23166666667,1196.38
799,1204.52,1201.56666666667,1197.59
800,1205.81,1202.69,1198.83
801,1209.64,1204.29,1200.34
802,1212.8,1206.43,1202.01416666667
803,1214.64,1208.48333333333,1203.7025
804,1214.4,1210.30166666667,1205.26666666667
805,1214.05,1211.89,1206.72833333333
806,1214.26,1213.29833333333,1207.99
807,1212.74,1213.815,1209.05
808,1211.59,1213.61333333333,1210.02
809,1211.83,1213.145,1210.81416666667
810,1212.43,1212.82,1211.55916666667
811,1214.3,1212.86,1212.37416666667
812,1214.78,1212.945,1213.12166666667
813,1215.76,1213.44833333333,1213.63166666667
814,1214.79,1213.98166666667,1213.7975
815,1212.53,1214.09833333333,1213.62166666667
816,1212.89,1214.175,1213.50
817,1213.3,1214.01,1213.43
818,1211.75,1213.50333333333,1213.22416666667
819,1208.8,1212.34333333333,1212.89583333333
820,1207.37,1211.10666666667,1212.54416666667
821,1206.4,1210.085,1212.09166666667
822,1207.28,1209.15,1211.6625
823,1208.74,1208.39,1211.20
824,1211.29,1208.31333333333,1210.90833333333
825,1212.11,1208.865,1210.60416666667
826,1212.58,1209.73333333333,1210.42
827,1213.94,1210.99,1210.5375
828,1214.26,1212.15,1210.65166666667
829,1213.79,1213.00,1210.6925
830,1211.33,1213.00,1210.6575
831,1208.78,1212.45,1210.65583333333
832,1207.67,1211.63,1210.68083333333
833,1204.09,1209.99,1210.49
834,1199.97,1207.61,1209.88
835,1196.66,1204.75,1208.87
836,1196.72,1202.32,1207.66
837,1196.66,1200.30,1206.37
838,1196.45,1198.43,1205.03
839,1196.12,1197.10,1203.54
840,1197.27,1196.65,1202.13
841,1196.62,1196.64,1200.70
842,1194.68,1196.30,1199.31
843,1190.76,1195.32,1197.81
844,1187.32,1193.80,1196.11
845,1183.12,1191.63,1194.36
846,1180.78,1188.88,1192.76
847,1179.97,1186.11,1191.37
848,1177.96,1183.32,1189.81
849,1178.03,1181.20,1188.26
850,1177.22,1179.51,1186.65
851,1177.37,1178.56,1185.09
852,1177.94,1178.08,1183.48
853,1176.5,1177.50,1181.80
854,1172.06,1176.52,1179.92
855,1167.49,1174.76333333333,1177.98
856,1162.39,1172.29166666667,1175.90
857,1160.19,1169.42833333333,1173.99
858,1157.57,1166.03333333333,1172.06
859,1156.42,1162.69,1170.10
860,1155.42,1159.91,1168.21666666667
861,1154.89,1157.81,1166.28833333333
862,1153.3,1156.30,1164.295
863,1152.13,1154.955,1162.19166666667
864,1153.33,1154.24833333333,1160.14083333333
865,1154.42,1153.915,1158.30
866,1153.09,1153.52666666667,1156.72
867,1148.27,1152.42333333333,1155.12
868,1144.68,1150.99,1153.64
869,1143.19,1149.50,1152.22583333333
870,1141.93,1147.60,1150.9225
871,1143.27,1145.74,1149.82666666667
872,1142.12,1143.91,1148.71833333333
873,1141.17,1142.73,1147.575
874,1139.48,1141.86,1146.42
875,1139.12,1141.18,1145.34
876,1140.39,1140.93,1144.26
877,1140.11,1140.40,1143.07
878,1138.7,1139.83,1141.87
879,1134.98,1138.79666666667,1140.76
880,1129.7,1137.16666666667,1139.51
881,1126.93,1135.135,1138.16
882,1125.73,1132.69166666667,1136.81
883,1126.67,1130.45166666667,1135.43
884,1125.86,1128.31166666667,1134.07
885,1127.43,1127.05333333333,1132.925
886,1130.13,1127.13,1132.14583333333
887,1130.01,1127.64,1131.38666666667
888,1137.4,1129.58,1131.1375
889,1143.25,1132.34666666667,1131.39916666667
890,1147.66,1135.98,1132.14583333333
891,1144.45,1138.81666666667,1132.935
892,1141.89,1140.77666666667,1133.95
893,1140.46,1142.51833333333,1135.08
894,1139.01,1142.79,1136.19
895,1139.61,1142.18,1137.26333333333
896,1138.36,1140.63,1138.305
897,1137.01,1139.39,1139.10333333333
898,1135.27,1138.29,1139.53166666667
899,1137.52,1137.80,1140.1575
900,1139.46,1137.87,1140.33
901,1141.2,1138.14,1140.16
902,1139.48,1138.32333333333,1139.48
903,1135.94,1138.145,1138.77
904,1131.14,1137.45666666667,1137.87
905,1128.26,1135.91333333333,1136.86
906,1126.42,1133.74,1135.81
907,1126.54,1131.30,1134.72
908,1125.36,1128.94,1133.63333333333
909,1126.13,1127.31,1132.72666666667
910,1126.63,1126.56,1132.00666666667
911,1128.12,1126.53,1131.22333333333
912,1129.55,1127.06,1130.3975
913,1129.35,1127.52,1129.41
914,1125.79,1127.60,1128.27
915,1120.69,1126.69,1127.00
916,1115.89,1124.90,1125.73
917,1113.5,1122.46,1124.50
918,1111.58,1119.46666666667,1123.26
919,1111.84,1116.54833333333,1122.04
920,1111.06,1114.09333333333,1120.84
921,1110.95,1112.47,1119.58
922,1111.22,1111.69166666667,1118.30
923,1114.81,1111.91,1117.19
924,1116.46,1112.72,1116.095
925,1116.93,1113.57,1115.06
926,1115.65,1114.34,1114.215
927,1110.61,1114.28,1113.375
928,1107.05,1113.59,1112.63833333333
929,1104.98,1111.95,1111.93
930,1104.42,1109.94,1111.33
931,1105.13,1107.97,1110.77
932,1105.76,1106.33,1110.33
933,1107.94,1105.88,1110.08
934,1107.33,1105.93,1109.76
935,1110.97,1106.93,1109.44
936,1111.78,1108.15,1109.05
937,1111.43,1109.20,1108.59
938,1107.4,1109.48,1107.90
939,1101.26,1108.36166666667,1107.12
940,1096.92,1106.62666666667,1106.28
941,1095.26,1104.00833333333,1105.47
942,1094.2,1101.07833333333,1104.62
943,1093.73,1098.12833333333,1103.67
944,1093.68,1095.84166666667,1102.66
945,1093.26,1094.50833333333,1101.435
946,1093.52,1093.94166666667,1100.28416666667
947,1096.3,1094.115,1099.06166666667
948,1100.02,1095.085,1098.08166666667
949,1103.21,1096.665,1097.39666666667
950,1100.66,1097.82833333333,1096.835
951,1098,1098.61833333333,1096.56333333333
952,1094.3,1098.74833333333,1096.345
953,1089.3,1097.58166666667,1095.84833333333
954,1086.97,1095.40666666667,1095.24583333333
955,1086.91,1092.69,1094.6775
956,1083.81,1089.88166666667,1093.855
957,1082.36,1087.275,1092.94666666667
958,1081.94,1085.215,1091.98166666667
959,1086.3,1084.72,1091.14833333333
960,1091.73,1085.50833333333,1090.4575
961,1095.78,1086.98666666667,1089.83833333333
962,1096.39,1089.08333333333,1089.4825
963,1095.76,1091.31666666667,1089.29583333333
964,1097.9,1093.97666666667,1089.59583333333
965,1102.38,1096.65666666667,1090.69
966,1107.07,1099.21333333333,1092.36083333333
967,1113.45,1102.15833333333,1094.5725
968,1116.04,1105.43333333333,1097.25833333333
969,1121,1109.64,1100.47833333333
970,1125.82,1114.29333333333,1104.135
971,1132.83,1119.36833333333,1108.0125
972,1134.18,1123.88666666667,1111.55
973,1133.06,1127.155,1114.65666666667
974,1129.41,1129.38333333333,1117.40833333333
975,1123.93,1129.87,1119.75583333333
976,1119.38,1128.80,1121.54583333333
977,1115.84,1125.97,1122.6675
978,1115.92,1122.92,1123.405
979,1116.56,1120.17,1123.66416666667
980,1115.16,1117.80,1123.59083333333
981,1116.5,1116.56,1123.22
982,1117.24,1116.20333333333,1122.50
983,1120.36,1116.95666666667,1121.46
984,1122.32,1118.02333333333,1120.47
985,1122.14,1118.95333333333,1119.56
986,1118.59,1119.525,1118.66
987,1112.91,1118.93,1117.74
988,1108.36,1117.45,1116.825
989,1105.98,1115.05,1116.00333333333
990,1105.92,1112.32,1115.17
991,1106.13,1109.65,1114.30083333333
992,1106.92,1107.70,1113.61416666667
993,1104.04,1106.23,1112.58
994,1106.36,1105.89,1111.67
995,1106.73,1106.02,1110.53
996,1108.75,1106.49,1109.40
997,1107.94,1106.79,1108.22
998,1101.71,1105.92,1106.81
999,1094.55,1104.34,1105.28
1000,1087.46,1101.19,1103.54
1001,1082.66,1097.18,1101.60
1002,1080.6,1092.49,1099.49
1003,1081.55,1088.08833333333,1097.44
1004,1081.33,1084.69166666667,1095.31
1005,1082.79,1082.73166666667,1093.54
1006,1083.57,1082.08333333333,1091.64
1007,1087.79,1082.93833333333,1090.06
1008,1088.51,1084.26,1088.37
1009,1088.98,1085.50,1086.79166666667
1010,1084.87,1086.09,1085.38833333333
1011,1079.03,1085.46,1084.095
1012,1076.57,1084.29,1083.1875
1013,1075.08,1082.17,1082.55583333333
1014,1078.15,1080.45,1082.35
1015,1078.31,1078.67,1082.08
1016,1078.1,1077.54,1081.81
1017,1078.99,1077.53333333333,1081.50
1018,1078.23,1077.81,1081.05
1019,1080.91,1078.78166666667,1080.48
1020,1083.68,1079.70333333333,1080.08
1021,1084.17,1080.68,1079.67
1022,1080.45,1081.07,1079.31
1023,1076.13,1080.60,1079.06416666667
1024,1073.8,1079.86,1078.83333333333
1025,1071.64,1078.31166666667,1078.54666666667
1026,1072.75,1076.49,1078.09666666667
1027,1075.17,1074.99,1077.835
1028,1075.23,1074.12,1077.60
1029,1076.34,1074.155,1077.38
1030,1076.55,1074.61,1077.24
1031,1080.82,1076.14,1077.2275
1032,1086.08,1078.37,1077.4275
1033,1089.78,1080.80,1077.895
1034,1088.26,1082.97,1078.54583333333
1035,1084.89,1084.40,1079.27583333333
1036,1081.56,1085.23,1079.92
1037,1079.52,1085.02,1080.58
1038,1079.03,1083.84,1081.10
1039,1081.44,1082.45,1081.63
1040,1082.05,1081.42,1082.19
1041,1082.3,1080.98,1082.69
1042,1080.95,1080.88166666667,1083.06
1043,1082.52,1081.38166666667,1083.20
1044,1087.5,1082.79333333333,1083.32
1045,1088.21,1083.92166666667,1083.19
1046,1088.11,1084.93166666667,1083.17
1047,1084.49,1085.29666666667,1083.14
1048,1080,1085.13833333333,1083.01
1049,1076.81,1084.18666666667,1082.78416666667
1050,1077.43,1082.50833333333,1082.65083333333
1051,1078.88,1080.95333333333,1082.4375
1052,1078.29,1079.31666666667,1082.12416666667
1053,1078.52,1078.32166666667,1081.80916666667
1054,1078.32,1078.04,1081.59
1055,1081.46,1078.82,1081.50166666667
1056,1085.75,1080.20,1081.35583333333
1057,1087.97,1081.72,1081.33583333333
1058,1090.24,1083.71,1081.51333333333
1059,1088.95,1085.45,1081.885
1060,1086.48,1086.81,1082.43
1061,1084.71,1087.35,1083.08
1062,1082.82,1086.86,1083.53
1063,1083.45,1086.11,1083.91
1064,1083,1084.90,1084.31
1065,1082.61,1083.845,1084.65
1066,1083.85,1083.40666666667,1085.11
1067,1090.49,1084.37,1085.86
1068,1094.68,1086.34666666667,1086.60
1069,1096.27,1088.48333333333,1087.30
1070,1098.59,1091.08,1087.99
1071,1096.39,1093.38,1088.61166666667
1072,1091.32,1094.62,1089.015
1073,1087.07,1094.05,1089.21166666667
1074,1084.63,1092.38,1089.3625
1075,1084.04,1090.34,1089.41166666667
1076,1083.21,1087.78,1089.43
1077,1081.88,1085.36,1089.37
1078,1081.07,1083.65,1089.14
1079,1083.72,1083.09,1088.57
1080,1085.95,1083.31,1087.85
1081,1087.26,1083.85,1087.09
1082,1084.39,1084.05,1085.91
1083,1079.3,1083.62,1084.49
1084,1073.5,1082.35333333333,1083.00
1085,1068.77,1079.86166666667,1081.48
1086,1067.65,1076.81166666667,1080.06
1087,1067.96,1073.595,1078.72
1088,1067.68,1070.81,1077.43